"Name","Commit","Runtime","GitHub","Hostname","Notes","GPU Type","Tags","_attn_implementation_autoset","batch_size","clip_length","epochs","eval_batch_size","frame_step","initial_offset","learning_rate","lr","min_frames","per_device_eval_batch_size","per_device_train_batch_size","problem_type","sample_rate","save_total_limit","train_batch_size","train_dataset_path","trial_number","val_dataset_path","weight_decay","eval/accuracy","eval/f1-score","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval/top-5 accuracy","total_flos","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"hpo_trial_9","3ce4657d0380660d3765c440605ec4789bd15577","527","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","3","","","","","","0.00009520841467394328","","","3","3","single_label_classification","","1","","","9","","0.011022519856154838","0.4375","0.3682523914371349","2.3270785808563232","13.2603","24.132","8.069","0.7875000238418579","3209522733739671600","1218","2.2917447090148926","7.035104532557384e-7","1.1638","1.333513164167921","512.8737","7.125","2.375"
"hpo_trial_8","3ce4657d0380660d3765c440605ec4789bd15577","541","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","2","","","","","","0.0007999463273442136","","","2","2","single_label_classification","","1","","","8","","0.08521696075561332","0.35625","0.23501675872107664","2.2091801166534424","12.8342","24.933","12.467","0.7437499761581421","3209522733739671600","1827","5.446969509124756","0.000003502775379722884","1.6628","2.582862362104504","526.6411","6.938","3.469"
"hpo_trial_7","3ce4657d0380660d3765c440605ec4789bd15577","543","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","2","","","","","","0.00002287916164107302","","","2","2","single_label_classification","","1","","","7","","0.0254723473716686","0.69375","0.6623484490777064","1.874180793762207","12.9418","24.726","12.363","0.912500023841858","3209522733739671600","1827","0.000055268646974582225","1.0018242645242704e-7","0.0001","0.007577904489487824","528.5191","6.914","3.457"
"hpo_trial_6","3ce4657d0380660d3765c440605ec4789bd15577","544","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","2","","","","","","0.000010669548111041525","","","2","2","single_label_classification","","1","","","6","","0.028097722998243955","0.6875","0.6633830957066028","1.812748670578003","13.0949","24.437","12.219","0.8999999761581421","3209522733739671600","1827","0.05917475372552872","4.6719422489508584e-8","0.0002","0.03827953635326005","528.9161","6.908","3.454"
"hpo_trial_5","3ce4657d0380660d3765c440605ec4789bd15577","531","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","3","","","","","","0.00041482915887070904","","","3","3","single_label_classification","","1","","","5","","0.014969828023368067","0.65625","0.625220398579717","1.805639624595642","13.1802","24.279","8.118","0.887499988079071","3209522733739671600","1218","20.169937133789062","0.0000030652400901776527","0.1939","1.5427811140881982","515.7094","7.085","2.362"
"hpo_trial_4","3ce4657d0380660d3765c440605ec4789bd15577","521","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","4","","","","","","0.0001777432348605809","","","4","4","single_label_classification","","1","","","4","","0.017544524733651784","0.80625","0.7665453374872865","1.0282586812973022","12.6049","25.387","6.347","0.965624988079071","3209522733739671600","915","0.00003771437332034111","0.000001165529408921842","0.0002","0.15438228362235165","506.0107","7.221","1.808"
"hpo_trial_3","3ce4657d0380660d3765c440605ec4789bd15577","532","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","3","","","","","","0.00002271716943014268","","","3","3","single_label_classification","","1","","","3","","0.015093431590203972","0.84375","0.819767230157641","0.8695918917655945","13.3374","23.993","8.023","0.965624988079071","3209522733739671600","1218","0.00015215924941003325","1.6786085785819717e-7","0","0.001259985320259494","517.1094","7.066","2.355"
"hpo_trial_2","3ce4657d0380660d3765c440605ec4789bd15577","532","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","3","","","","","","0.00022732712648263696","","","3","3","single_label_classification","","1","","","2","","0.01394090751295838","0.834375","0.7898855314865751","0.9026907086372375","13.3142","24.034","8.037","0.962499976158142","3209522733739671600","1218","0.0023601558059453964","0.0000016797570922362337","0","0.5205088151464574","516.7515","7.071","2.357"
"hpo_trial_1","3ce4657d0380660d3765c440605ec4789bd15577","521","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","false","4","","","","","","0.0001463190223512823","","","4","4","single_label_classification","","1","","","1","","0.05376692915089383","0.896875","0.83919020875576","0.4118613302707672","12.7563","25.086","6.271","0.984375","3209522733739671600","915","0.00032588979229331017","9.59468999024802e-7","0.0005","0.2443928017357016","506.1131","7.22","1.808"
"hpo_trial_0","3ce4657d0380660d3765c440605ec4789bd15577","545","https://github.com/Elisa-tea/EEEM068//tree/3ce4657d0380660d3765c440605ec4789bd15577","1841afbca189","-","Tesla V100-SXM2-32GB","","true","2","","","","","","0.000051262719719036015","","","2","2","","","1","","","0","","0.06477151187562134","0.903125","0.8161190202985869","0.3267975449562073","12.9251","24.758","12.379","0.984375","3209522733739671600","1827","4.280810356140137","2.244673003570269e-7","0.0041","0.5661332685570061","530.0834","6.893","3.447"
